WASP-34 b;0;0.59;22.jan;4.3176782
CoRoT-29 b;0;0.85;0.9;2.85057
WASP-4 b;0;1.1215;1.363;1.33823187
TrES-1 b;0;0.761;1.099;3.0300722
WASP-21 b;0;0.276;1.162;4.3225186
XO-4 b;0;1.615;1.615;4.1250707
Gliese 436 b;0;0.0727;0.3767;2.64385
Gliese 436 c;0;0.0008807961;0.06014599;1.3658
WASP-63 b;0;0.38;1.43;4.37809
Kepler-51 b;0;0.0066;0.633;45.154
Kepler-51 c;0;0.0126;0.803;85.312
Kepler-51 d;0;0.0239;0.865;130.194
KOI-195 b;0;0.34;09.jan;3.21751883
Kepler-97 b;0;0.011041;0.134873;2.58664
TrES-3 b;0;1.91;1.305;1.30618608
Kepler-56 b;0;0.0695;0.581;10.51057
Kepler-56 c;0;0.569;0.874;21.40239
Kepler-105 c;0;0.014483;0.14672;7.125939
KOI-423 b;0;19.jan;11.jan;21.087212
KOI-3681.01;0;02.ápr;1.97;217.8317626
WASP-118 b;0;0.514;1.44;4.0460435
HAT-P-51 b;0;0.309;1.293;4.2180278
WASP-81 b;0;0.729;1.429;2.7164762
Kepler-12 b;0;0.43;1.75;4.4379637
WASP-68 b;0;0.95;24.jan;5.084298
HAT-P-4 b;0;0.68;27.jan;3.0565114
KELT-8 b;0;0.867;1.86;3.24406
WASP-64 b;0;1.271;1.271;1.57329
WASP-29 b;0;0.244;0.792;3.922727
CoRoT-9 b;0;0.84;05.jan;95.2738
KELT-11 b;0;0.195;1.37;4.736529
XO-6 b;0;09.jan;07.febr;3.7650007
WASP-114 b;0;1.769;1.339;1.5487743
KIC 8435766 b;0;0.005882;0.109356;0.35500744
EPIC 203771098 b;0;0.066;0.52;20.88508
EPIC 203771098 c;0;0.085;0.723;42.36342
Gliese 3470 b;0;0.0432;0.346;3.3366487
55 Cnc e;2;0.0254;0.1746;0.7365515
Kepler-20 b;0;0.027;0.17;3.6961219
Kepler-20 c;0;0.051;0.27;10.854092
Kepler-20 d;0;0.06;0.25;77.61185
HAT-P-2 b;0;8.74;0.951;5.6334729
HAT-P-38 b;0;0.267;0.825;4.640382
Kepler-14 b;0;04.aug;1.136;6.790123
WASP-113 b;0;0.475;1.409;4.54216874538
Kepler-307 b;0;0.023403;0.29162;10.416
Kepler-307 c;0;0.011468;0.25516;13.084
HATS-14 b;0;07.jan;04.jan;2.766764
HATS-15 b;0;17.febr;1.105;1.74748753
Kepler-93 b;0;0.0126;0.1319;4.72673978
WASP-38 b;0;2.71;09.jan;6.87188
WASP-112 b;0;0.88;1.191;3.0353992
HATS-27 b;0;0.53;05.jan;4.637038
HATS-1 b;0;1.855;1.302;3.446459
WASP-142 b;0;0.84;1.53;2.052868
WASP-78 b;0;16.jan;1.75;2.17517656
CoRoT-25 b;0;0.27;08.jan;4.86069
HATS-2 b;0;1.345;1.168;1.354133
HAT-P-30 b;2;0.711;1.34;2.810595
WASP-66 b;0;2.32;1.39;4.086052
CoRoT-4 b;0;0.72;19.jan;9.20205
Qatar-3 b;0;4.31;1.096;2.5079204
CoRoT-27 b;0;10.39;1.007;3.57532
HAT-P-25 b;0;0.567;19.jan;3.652836
OGLE-TR-182 b;0;06.jan;1.47;3.9791
Kepler-106 c;0;0.032841;0.227826;13.5708
Kepler-106 e;0;0.035137;0.233294;43.8445
2M 2140+16 b;0;20;0.92;7340
TrES-5 b;0;1.778;1.209;1.4822446
WASP-39 b;0;0.28;27.jan;4.055259
Kepler-433 b;0;2.82;1.45;5.33408384
WASP-130 b;0;23.jan;0.89;11.55098
WASP-73 b;0;1.88;16.jan;4.08722
Kepler-57 b;0;0.015814;0.199575;5.7293196
Kepler-57 c;0;0.007759;0.141252;11.6092567
Kepler-41 b;0;0.56;04.jan;1.8555582
WASP-58 b;0;0.89;1.37;5.01718
WASP-20 b;0;0.313;1.458;4.8996285
OGLE-TR-113 b;0;26.jan;1.051;1.43247506
Kepler-289 b;0;0.023;0.192;34.545
PH3 c;0;0.013;0.239;66.0634
Kepler-289 c;0;0.415;1.034;125.8518
TRAPPIST-1 b;0;0.002674;0.098967;1.51087081
TRAPPIST-1 c;0;0.004341;0.096234;2.4218233
TRAPPIST-1 d;0;0.00129;0.070353;4.04961
TRAPPIST-1 e;0;0.00195;0.083658;6.099615
TRAPPIST-1 f;0;0.002139;0.095231;9.20669
TRAPPIST-1 g;0;0.004215;0.102704;12.35294
EPIC 220504338;0;28.jan;0.91;5.817712
HAT-P-32 b;2;0.941;2.037;2.150009
HAT-P-1 b;0;0.524;1.217;4.4652934
HAT-P-12 b;0;0.211;0.959;3.2130598
